Name,Length,Thickness,Tension,Moment,Shear,Rebar Size,Rebar Spacing,Layers,DCR
1ST FLOOR_P-G-04,48,7.50,-48.7,65.9,20.7,#5,@ 72.0'',(2),0.60
1ST FLOOR_P-G-05,145,5.87,-187.7,82.0,69.5,#5,@ 72.0'',(2),0.77
1ST FLOOR_P-G-06,37,5.20,-47.6,13.1,8.4,#5,@ 72.0'',(2),0.52
1ST FLOOR_P-G-07,12,5.20,-13.8,4.7,2.5,#5,@ 72.0'',(2),0.15
1ST FLOOR_P-G-08,312,7.50,-201.6,1430.7,255.4,#5,@ 72.0'',(2),0.68
1ST FLOOR_P-G-09,108,7.50,13.4,88.8,28.1,#5,@ 72.0'',(2),0.23
1ST FLOOR_P-G-10,48,7.50,16.8,20.6,6.3,#5,@ 72.0'',(2),0.14
1ST FLOOR_P-G-11,75,7.50,34.2,57.4,18.2,#5,@ 72.0'',(2),0.22
1ST FLOOR_P-G-12,213,7.50,105.7,134.3,29.6,#5,@ 72.0'',(2),0.10
1ST FLOOR_P-G-13,32,7.50,28.6,7.1,2.4,#5,@ 72.0'',(2),0.06
1ST FLOOR_P-G-14,2532,7.22,-457.7,46371.5,107.4,#5,@ 72.0'',(2),0.06
1ST FLOOR_P-F-1,1034,10.78,185.8,11047.7,205.7,#5,@ 72.0'',(2),0.15
1ST FLOOR_P-F-2,132,5.20,25.0,33.0,23.0,#5,@ 72.0'',(2),0.21
1ST FLOOR_P-F-3,1210,9.09,133.8,7801.5,229.6,#5,@ 72.0'',(2),0.15
1ST FLOOR_P-E.8-1,113,7.60,-212.9,102.6,91.8,#4,@ 24.0'',(1),0.81
1ST FLOOR_P-C.1-1,308,11.60,-68.2,593.5,53.1,#5,@ 72.0'',(2),0.09
1ST FLOOR_P-C.1-2,66,11.60,-26.9,173.6,84.8,#5,@ 72.0'',(2),0.65
1ST FLOOR_P-C.1-3,116,11.60,-5.0,173.3,58.3,#5,@ 72.0'',(2),0.24
1ST FLOOR_P-B.6-1,465,11.60,91.9,1208.4,247.9,#5,@ 72.0'',(2),0.23
